	Source	Target	Weight	Type
0	#hora	#afri	26.0	Undirected
15	#afri	#timo	22.0	Undirected
3	#hora	#timo	21.0	Undirected
14	#afri	#paco	18.0	Undirected
2	#hora	#paco	17.0	Undirected
31	#paco	#timo	14.0	Undirected
4	#hora	#luis	12.0	Undirected
20	#afri	#conde	11.0	Undirected
1	#hora	#ramo	10.0	Undirected
19	#afri	#cons	10.0	Undirected
13	#afri	#ramo	10.0	Undirected
9	#hora	#beni	10.0	Undirected
25	#ramo	#timo	10.0	Undirected
61	#maru	#cons	9.0	Undirected
46	#timo	#cons	9.0	Undirected
17	#afri	#maru	9.0	Undirected
44	#timo	#maru	9.0	Undirected
7	#hora	#cons	9.0	Undirected
71	#conde	#vict	9.0	Undirected
23	#afri	#vict	9.0	Undirected
5	#hora	#maru	8.0	Undirected
55	#luis	#niev	7.0	Undirected
48	#timo	#beni	7.0	Undirected
27	#ramo	#maru	7.0	Undirected
66	#niev	#beni	7.0	Undirected
29	#ramo	#cons	7.0	Undirected
37	#paco	#beni	7.0	Undirected
57	#luis	#beni	6.0	Undirected
36	#paco	#conde	6.0	Undirected
38	#paco	#eulo	6.0	Undirected
39	#paco	#vict	6.0	Undirected
45	#timo	#niev	6.0	Undirected
6	#hora	#niev	6.0	Undirected
16	#afri	#luis	5.0	Undirected
43	#timo	#luis	5.0	Undirected
10	#hora	#eulo	5.0	Undirected
8	#hora	#conde	5.0	Undirected
56	#luis	#cons	5.0	Undirected
11	#hora	#vict	5.0	Undirected
50	#timo	#vict	5.0	Undirected
47	#timo	#conde	5.0	Undirected
12	#hora	#wist	4.0	Undirected
26	#ramo	#luis	4.0	Undirected
40	#paco	#wist	4.0	Undirected
21	#afri	#beni	4.0	Undirected
34	#paco	#niev	4.0	Undirected
54	#luis	#maru	3.0	Undirected
28	#ramo	#niev	3.0	Undirected
18	#afri	#niev	3.0	Undirected
30	#ramo	#beni	3.0	Undirected
32	#paco	#luis	3.0	Undirected
22	#afri	#eulo	2.0	Undirected
63	#maru	#beni	2.0	Undirected
62	#maru	#conde	2.0	Undirected
73	#eulo	#wist	2.0	Undirected
60	#maru	#niev	2.0	Undirected
59	#luis	#wist	2.0	Undirected
64	#maru	#vict	2.0	Undirected
33	#paco	#maru	2.0	Undirected
67	#niev	#wist	2.0	Undirected
65	#niev	#cons	2.0	Undirected
68	#cons	#conde	1.0	Undirected
69	#cons	#beni	1.0	Undirected
72	#beni	#eulo	1.0	Undirected
70	#cons	#vict	1.0	Undirected
51	#timo	#wist	1.0	Undirected
58	#luis	#eulo	1.0	Undirected
53	#timo	#todo	1.0	Undirected
52	#timo	#jorg	1.0	Undirected
49	#timo	#eulo	1.0	Undirected
42	#paco	#todo	1.0	Undirected
41	#paco	#jorg	1.0	Undirected
35	#paco	#cons	1.0	Undirected
24	#ramo	#paco	1.0	Undirected
74	#jorg	#todo	1.0	Undirected
