	Source	Target	Weight	Type
55	scene_11	scene_12	4.0	Undirected
75	scene_16	scene_17	3.0	Undirected
67	scene_13	scene_15	3.0	Undirected
65	scene_12	scene_17	3.0	Undirected
60	scene_11	scene_17	3.0	Undirected
56	scene_11	scene_13	2.0	Undirected
36	scene_8	scene_11	2.0	Undirected
37	scene_8	scene_12	2.0	Undirected
40	scene_8	scene_15	2.0	Undirected
41	scene_8	scene_16	2.0	Undirected
48	scene_10	scene_11	2.0	Undirected
49	scene_10	scene_12	2.0	Undirected
50	scene_10	scene_13	2.0	Undirected
52	scene_10	scene_15	2.0	Undirected
59	scene_11	scene_16	2.0	Undirected
58	scene_11	scene_15	2.0	Undirected
30	scene_7	scene_13	2.0	Undirected
61	scene_12	scene_13	2.0	Undirected
63	scene_12	scene_15	2.0	Undirected
64	scene_12	scene_16	2.0	Undirected
66	scene_13	scene_14	2.0	Undirected
68	scene_13	scene_16	2.0	Undirected
70	scene_14	scene_15	2.0	Undirected
71	scene_14	scene_16	2.0	Undirected
73	scene_15	scene_16	2.0	Undirected
32	scene_7	scene_15	2.0	Undirected
0	scene_2	scene_3	2.0	Undirected
38	scene_8	scene_13	2.0	Undirected
15	scene_3	scene_12	2.0	Undirected
20	scene_3	scene_17	2.0	Undirected
25	scene_7	scene_8	2.0	Undirected
3	scene_2	scene_11	2.0	Undirected
4	scene_2	scene_12	2.0	Undirected
14	scene_3	scene_11	2.0	Undirected
9	scene_2	scene_17	2.0	Undirected
62	scene_12	scene_14	1.0	Undirected
16	scene_3	scene_13	1.0	Undirected
57	scene_11	scene_14	1.0	Undirected
13	scene_3	scene_10	1.0	Undirected
12	scene_3	scene_8	1.0	Undirected
11	scene_3	scene_5	1.0	Undirected
8	scene_2	scene_16	1.0	Undirected
10	scene_3	scene_4	1.0	Undirected
53	scene_10	scene_16	1.0	Undirected
7	scene_2	scene_15	1.0	Undirected
6	scene_2	scene_14	1.0	Undirected
5	scene_2	scene_13	1.0	Undirected
69	scene_13	scene_17	1.0	Undirected
72	scene_14	scene_17	1.0	Undirected
2	scene_2	scene_10	1.0	Undirected
74	scene_15	scene_17	1.0	Undirected
54	scene_10	scene_17	1.0	Undirected
27	scene_7	scene_10	1.0	Undirected
17	scene_3	scene_14	1.0	Undirected
39	scene_8	scene_14	1.0	Undirected
29	scene_7	scene_12	1.0	Undirected
26	scene_7	scene_9	1.0	Undirected
31	scene_7	scene_14	1.0	Undirected
33	scene_7	scene_16	1.0	Undirected
34	scene_8	scene_9	1.0	Undirected
35	scene_8	scene_10	1.0	Undirected
24	scene_5	scene_17	1.0	Undirected
23	scene_5	scene_12	1.0	Undirected
1	scene_2	scene_5	1.0	Undirected
22	scene_5	scene_11	1.0	Undirected
28	scene_7	scene_11	1.0	Undirected
21	scene_4	scene_8	1.0	Undirected
42	scene_8	scene_17	1.0	Undirected
43	scene_9	scene_10	1.0	Undirected
44	scene_9	scene_11	1.0	Undirected
45	scene_9	scene_12	1.0	Undirected
46	scene_9	scene_13	1.0	Undirected
47	scene_9	scene_15	1.0	Undirected
19	scene_3	scene_16	1.0	Undirected
18	scene_3	scene_15	1.0	Undirected
51	scene_10	scene_14	1.0	Undirected
