	Source	Target	Weight	Type
0	#alge	#cans	5.0	Undirected
1	#alge	#jorg	5.0	Undirected
2	#alge	#memb	4.0	Undirected
14	#jorg	#memb	4.0	Undirected
4	#alge	#rami	4.0	Undirected
10	#cans	#rami	3.0	Undirected
16	#jorg	#rami	3.0	Undirected
6	#alge	#parr	2.0	Undirected
19	#memb	#rami	2.0	Undirected
23	#rami	#parr	2.0	Undirected
8	#cans	#jorg	2.0	Undirected
22	#rami	#gasc	1.0	Undirected
17	#jorg	#gasc	1.0	Undirected
21	#mart	#rami	1.0	Undirected
20	#memb	#parr	1.0	Undirected
24	#rami	#gome	1.0	Undirected
18	#memb	#mart	1.0	Undirected
13	#cans	#gome	1.0	Undirected
15	#jorg	#mart	1.0	Undirected
12	#cans	#parr	1.0	Undirected
11	#cans	#gasc	1.0	Undirected
9	#cans	#mart	1.0	Undirected
7	#alge	#gome	1.0	Undirected
5	#alge	#gasc	1.0	Undirected
3	#alge	#mart	1.0	Undirected
25	#parr	#gome	1.0	Undirected
