	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7
#madr	60	0	30	3	33	0	14
#novo	34	0	17	5	47	16	0
#nova	0	0	25	37	30	15	7
#cria	0	0	19	48	19	0	0
#leon	0	23	0	32	1	15	0
#muje	0	35	0	10	12	0	4
#padr	0	0	25	2	23	0	0
#sueg	0	29	0	0	0	0	4
#veci	26	0	0	0	0	0	6
#muc1	0	0	0	7	10	0	9
#len1	0	0	0	0	0	18	0
#muc2	0	0	0	6	4	0	7
#len2	0	0	0	0	0	16	0
#len3	0	0	0	0	0	14	0
#moz1	0	0	0	6	3	5	0
#much	0	7	0	0	0	0	1
#voce	0	0	0	7	0	0	0
#muer	0	0	0	0	0	0	6
#luna	0	0	0	0	0	5	0
#muc3	0	0	0	4	0	0	0
#conv	0	0	0	3	0	0	0
#moz2	0	0	0	1	2	0	0
#mujs	0	0	0	0	0	0	1
#nina	0	0	0	0	0	0	1
