	Source	Target	Weight	Type
29	#mart	#adel	18.0	Undirected
30	#mart	#amel	14.0	Undirected
32	#mart	#magd	13.0	Undirected
16	#ponc	#adel	13.0	Undirected
0	#bern	#ponc	13.0	Undirected
15	#ponc	#mart	12.0	Undirected
4	#bern	#angu	12.0	Undirected
18	#ponc	#angu	11.0	Undirected
31	#mart	#angu	11.0	Undirected
2	#bern	#adel	11.0	Undirected
1	#bern	#mart	11.0	Undirected
44	#adel	#magd	11.0	Undirected
64	#angu	#magd	10.0	Undirected
42	#adel	#amel	10.0	Undirected
55	#amel	#magd	10.0	Undirected
43	#adel	#angu	10.0	Undirected
20	#ponc	#cria	9.0	Undirected
5	#bern	#magd	8.0	Undirected
6	#bern	#cria	7.0	Undirected
19	#ponc	#magd	7.0	Undirected
45	#adel	#cria	7.0	Undirected
54	#amel	#angu	7.0	Undirected
17	#ponc	#amel	7.0	Undirected
33	#mart	#cria	6.0	Undirected
3	#bern	#amel	5.0	Undirected
74	#magd	#cria	5.0	Undirected
65	#angu	#cria	5.0	Undirected
83	#cria	#jose	3.0	Undirected
56	#amel	#cria	2.0	Undirected
35	#mart	#jose	2.0	Undirected
67	#angu	#jose	2.0	Undirected
8	#bern	#jose	2.0	Undirected
22	#ponc	#jose	2.0	Undirected
91	#muje	#muj1	1.0	Undirected
75	#magd	#prud	1.0	Undirected
77	#magd	#muje	1.0	Undirected
99	#muj1	#muj4	1.0	Undirected
100	#much	#muj2	1.0	Undirected
101	#much	#muj3	1.0	Undirected
102	#much	#muj4	1.0	Undirected
76	#magd	#jose	1.0	Undirected
103	#muj2	#muj3	1.0	Undirected
79	#magd	#much	1.0	Undirected
73	#angu	#muj4	1.0	Undirected
72	#angu	#muj3	1.0	Undirected
71	#angu	#muj2	1.0	Undirected
70	#angu	#much	1.0	Undirected
104	#muj2	#muj4	1.0	Undirected
69	#angu	#muj1	1.0	Undirected
78	#magd	#muj1	1.0	Undirected
80	#magd	#muj2	1.0	Undirected
92	#muje	#much	1.0	Undirected
86	#cria	#muj1	1.0	Undirected
93	#muje	#muj2	1.0	Undirected
68	#angu	#muje	1.0	Undirected
94	#muje	#muj3	1.0	Undirected
89	#cria	#muj3	1.0	Undirected
88	#cria	#muj2	1.0	Undirected
87	#cria	#much	1.0	Undirected
85	#cria	#mend	1.0	Undirected
81	#magd	#muj3	1.0	Undirected
84	#cria	#muje	1.0	Undirected
95	#muje	#muj4	1.0	Undirected
96	#muj1	#much	1.0	Undirected
97	#muj1	#muj2	1.0	Undirected
98	#muj1	#muj3	1.0	Undirected
82	#magd	#muj4	1.0	Undirected
90	#cria	#muj4	1.0	Undirected
53	#adel	#muj4	1.0	Undirected
66	#angu	#prud	1.0	Undirected
37	#mart	#muj1	1.0	Undirected
34	#mart	#prud	1.0	Undirected
28	#ponc	#muj4	1.0	Undirected
27	#ponc	#muj3	1.0	Undirected
26	#ponc	#muj2	1.0	Undirected
25	#ponc	#much	1.0	Undirected
24	#ponc	#muj1	1.0	Undirected
23	#ponc	#muje	1.0	Undirected
21	#ponc	#prud	1.0	Undirected
14	#bern	#muj4	1.0	Undirected
13	#bern	#muj3	1.0	Undirected
12	#bern	#muj2	1.0	Undirected
11	#bern	#much	1.0	Undirected
10	#bern	#muj1	1.0	Undirected
9	#bern	#muje	1.0	Undirected
7	#bern	#prud	1.0	Undirected
36	#mart	#muje	1.0	Undirected
38	#mart	#much	1.0	Undirected
63	#amel	#muj4	1.0	Undirected
39	#mart	#muj2	1.0	Undirected
62	#amel	#muj3	1.0	Undirected
61	#amel	#muj2	1.0	Undirected
60	#amel	#much	1.0	Undirected
59	#amel	#muj1	1.0	Undirected
58	#amel	#muje	1.0	Undirected
57	#amel	#prud	1.0	Undirected
52	#adel	#muj3	1.0	Undirected
51	#adel	#muj2	1.0	Undirected
50	#adel	#much	1.0	Undirected
49	#adel	#muj1	1.0	Undirected
48	#adel	#muje	1.0	Undirected
47	#adel	#jose	1.0	Undirected
46	#adel	#prud	1.0	Undirected
41	#mart	#muj4	1.0	Undirected
40	#mart	#muj3	1.0	Undirected
105	#muj3	#muj4	1.0	Undirected
