	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17	scene_18	scene_19	scene_20	scene_21	scene_22	scene_23	scene_24	scene_25	scene_26	scene_27	scene_28	scene_29	scene_30	scene_31	scene_32	scene_33	scene_34	scene_35	scene_36	scene_37	scene_38	scene_39
#bern	0	0	30	14	16	0	0	0	0	3	6	6	0	0	0	0	0	0	0	0	15	28	2	6	0	5	21	1	11	8	12	0	0	0	0	0	2	1	7
#ponc	18	0	6	1	15	0	0	0	0	2	1	0	15	0	15	3	8	5	0	1	4	27	1	3	0	3	4	0	0	0	20	2	3	0	0	0	0	0	5
#mart	0	0	2	2	0	11	10	3	1	0	0	0	11	3	0	0	6	4	12	3	8	0	2	2	7	2	1	1	0	6	0	0	0	0	9	17	1	0	4
#adel	0	0	2	3	0	0	0	10	1	0	0	0	0	4	16	1	5	4	0	2	4	0	0	1	6	4	3	2	0	10	0	2	0	0	0	18	1	1	2
#amel	0	0	1	0	0	12	8	2	1	0	0	0	15	0	0	0	5	2	13	1	1	0	0	0	0	0	2	2	0	5	0	0	0	0	0	0	0	0	0
#angu	0	0	1	4	0	0	2	0	0	0	4	1	19	0	0	2	0	0	0	6	7	0	3	1	0	0	4	0	11	2	0	0	0	0	0	0	0	1	1
#magd	0	0	3	0	0	0	15	7	3	0	0	2	14	1	0	0	6	0	0	1	2	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	3
#cria	17	5	1	4	1	0	0	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	1	2	0	0	0	0	0	1
#prud	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0
#jose	2	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0
#muje	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#mend	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#muj1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#much	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#muj2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#muj3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#muj4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
