	Source	Target	Weight	Type
35	scene_4	scene_5	5.0	Undirected
22	scene_3	scene_8	4.0	Undirected
19	scene_3	scene_5	4.0	Undirected
127	scene_12	scene_32	4.0	Undirected
124	scene_12	scene_26	4.0	Undirected
23	scene_3	scene_12	4.0	Undirected
193	scene_26	scene_32	4.0	Undirected
85	scene_8	scene_12	4.0	Undirected
96	scene_8	scene_32	3.0	Undirected
1	scene_2	scene_3	3.0	Undirected
52	scene_5	scene_12	3.0	Undirected
51	scene_5	scene_8	3.0	Undirected
117	scene_12	scene_16	3.0	Undirected
93	scene_8	scene_26	3.0	Undirected
91	scene_8	scene_19	3.0	Undirected
142	scene_14	scene_26	3.0	Undirected
71	scene_7	scene_8	3.0	Undirected
34	scene_3	scene_32	3.0	Undirected
145	scene_14	scene_32	3.0	Undirected
31	scene_3	scene_26	3.0	Undirected
116	scene_12	scene_14	3.0	Undirected
72	scene_7	scene_12	3.0	Undirected
21	scene_3	scene_7	3.0	Undirected
197	scene_30	scene_31	3.0	Undirected
187	scene_22	scene_32	3.0	Undirected
7	scene_2	scene_12	3.0	Undirected
6	scene_2	scene_8	3.0	Undirected
172	scene_19	scene_32	3.0	Undirected
167	scene_19	scene_22	3.0	Undirected
18	scene_3	scene_4	3.0	Undirected
3	scene_2	scene_5	3.0	Undirected
189	scene_23	scene_25	3.0	Undirected
79	scene_7	scene_22	2.0	Undirected
107	scene_11	scene_14	2.0	Undirected
74	scene_7	scene_14	2.0	Undirected
190	scene_24	scene_25	2.0	Undirected
192	scene_26	scene_31	2.0	Undirected
102	scene_10	scene_19	2.0	Undirected
78	scene_7	scene_19	2.0	Undirected
83	scene_7	scene_32	2.0	Undirected
87	scene_8	scene_14	2.0	Undirected
194	scene_27	scene_32	2.0	Undirected
80	scene_7	scene_26	2.0	Undirected
92	scene_8	scene_22	2.0	Undirected
188	scene_23	scene_24	2.0	Undirected
81	scene_7	scene_29	2.0	Undirected
88	scene_8	scene_16	2.0	Undirected
94	scene_8	scene_29	2.0	Undirected
123	scene_12	scene_22	2.0	Undirected
120	scene_12	scene_19	2.0	Undirected
165	scene_18	scene_28	2.0	Undirected
162	scene_17	scene_24	2.0	Undirected
161	scene_17	scene_23	2.0	Undirected
158	scene_16	scene_32	2.0	Undirected
155	scene_16	scene_26	2.0	Undirected
150	scene_15	scene_25	2.0	Undirected
149	scene_15	scene_24	2.0	Undirected
148	scene_15	scene_23	2.0	Undirected
146	scene_15	scene_17	2.0	Undirected
168	scene_19	scene_26	2.0	Undirected
163	scene_17	scene_25	2.0	Undirected
144	scene_14	scene_31	2.0	Undirected
141	scene_14	scene_22	2.0	Undirected
138	scene_14	scene_19	2.0	Undirected
135	scene_13	scene_32	2.0	Undirected
132	scene_13	scene_27	2.0	Undirected
183	scene_22	scene_26	2.0	Undirected
126	scene_12	scene_31	2.0	Undirected
125	scene_12	scene_29	2.0	Undirected
0	scene_1	scene_10	2.0	Undirected
198	scene_31	scene_32	2.0	Undirected
39	scene_4	scene_12	2.0	Undirected
32	scene_3	scene_29	2.0	Undirected
20	scene_3	scene_6	2.0	Undirected
50	scene_5	scene_7	2.0	Undirected
49	scene_5	scene_6	2.0	Undirected
14	scene_2	scene_26	2.0	Undirected
25	scene_3	scene_14	2.0	Undirected
26	scene_3	scene_16	2.0	Undirected
54	scene_5	scene_16	2.0	Undirected
29	scene_3	scene_19	2.0	Undirected
30	scene_3	scene_22	2.0	Undirected
61	scene_5	scene_32	2.0	Undirected
59	scene_5	scene_26	2.0	Undirected
17	scene_2	scene_32	2.0	Undirected
9	scene_2	scene_16	2.0	Undirected
64	scene_6	scene_12	2.0	Undirected
65	scene_6	scene_16	2.0	Undirected
2	scene_2	scene_4	2.0	Undirected
38	scene_4	scene_8	2.0	Undirected
37	scene_4	scene_7	2.0	Undirected
4	scene_2	scene_6	2.0	Undirected
5	scene_2	scene_7	2.0	Undirected
63	scene_6	scene_8	2.0	Undirected
143	scene_14	scene_29	1.0	Undirected
164	scene_17	scene_29	1.0	Undirected
24	scene_3	scene_13	1.0	Undirected
160	scene_17	scene_20	1.0	Undirected
159	scene_17	scene_18	1.0	Undirected
33	scene_3	scene_31	1.0	Undirected
36	scene_4	scene_6	1.0	Undirected
157	scene_16	scene_31	1.0	Undirected
27	scene_3	scene_17	1.0	Undirected
154	scene_16	scene_21	1.0	Undirected
153	scene_16	scene_20	1.0	Undirected
152	scene_16	scene_18	1.0	Undirected
151	scene_16	scene_17	1.0	Undirected
166	scene_18	scene_29	1.0	Undirected
28	scene_3	scene_18	1.0	Undirected
147	scene_15	scene_20	1.0	Undirected
156	scene_16	scene_29	1.0	Undirected
70	scene_6	scene_32	1.0	Undirected
16	scene_2	scene_31	1.0	Undirected
182	scene_21	scene_32	1.0	Undirected
196	scene_29	scene_32	1.0	Undirected
195	scene_29	scene_31	1.0	Undirected
8	scene_2	scene_14	1.0	Undirected
191	scene_26	scene_29	1.0	Undirected
10	scene_2	scene_17	1.0	Undirected
11	scene_2	scene_18	1.0	Undirected
12	scene_2	scene_19	1.0	Undirected
186	scene_22	scene_31	1.0	Undirected
185	scene_22	scene_29	1.0	Undirected
184	scene_22	scene_27	1.0	Undirected
13	scene_2	scene_22	1.0	Undirected
181	scene_21	scene_31	1.0	Undirected
15	scene_2	scene_29	1.0	Undirected
180	scene_21	scene_26	1.0	Undirected
179	scene_20	scene_32	1.0	Undirected
178	scene_20	scene_31	1.0	Undirected
177	scene_20	scene_26	1.0	Undirected
176	scene_20	scene_25	1.0	Undirected
175	scene_20	scene_24	1.0	Undirected
174	scene_20	scene_23	1.0	Undirected
173	scene_20	scene_21	1.0	Undirected
140	scene_14	scene_21	1.0	Undirected
170	scene_19	scene_29	1.0	Undirected
169	scene_19	scene_27	1.0	Undirected
171	scene_19	scene_31	1.0	Undirected
40	scene_4	scene_14	1.0	Undirected
139	scene_14	scene_20	1.0	Undirected
90	scene_8	scene_18	1.0	Undirected
104	scene_10	scene_27	1.0	Undirected
103	scene_10	scene_22	1.0	Undirected
53	scene_5	scene_14	1.0	Undirected
101	scene_9	scene_32	1.0	Undirected
100	scene_9	scene_27	1.0	Undirected
98	scene_9	scene_19	1.0	Undirected
97	scene_9	scene_10	1.0	Undirected
55	scene_5	scene_17	1.0	Undirected
95	scene_8	scene_31	1.0	Undirected
56	scene_5	scene_18	1.0	Undirected
57	scene_5	scene_19	1.0	Undirected
58	scene_5	scene_22	1.0	Undirected
89	scene_8	scene_17	1.0	Undirected
106	scene_11	scene_12	1.0	Undirected
60	scene_5	scene_29	1.0	Undirected
86	scene_8	scene_13	1.0	Undirected
62	scene_6	scene_7	1.0	Undirected
84	scene_8	scene_10	1.0	Undirected
82	scene_7	scene_31	1.0	Undirected
66	scene_6	scene_17	1.0	Undirected
67	scene_6	scene_18	1.0	Undirected
77	scene_7	scene_18	1.0	Undirected
76	scene_7	scene_17	1.0	Undirected
75	scene_7	scene_16	1.0	Undirected
68	scene_6	scene_26	1.0	Undirected
73	scene_7	scene_13	1.0	Undirected
105	scene_10	scene_32	1.0	Undirected
108	scene_11	scene_15	1.0	Undirected
