	Source	Target	Weight	Type
0	#caba	#gala	9.0	Undirected
2	#caba	#sabe	7.0	Undirected
69	#sabe	#roja	7.0	Undirected
4	#caba	#roja	7.0	Undirected
102	#cara	#farr	5.0	Undirected
24	#gala	#roja	5.0	Undirected
22	#gala	#sabe	5.0	Undirected
21	#gala	#dona	5.0	Undirected
44	#dona	#roja	4.0	Undirected
1	#caba	#dona	4.0	Undirected
3	#caba	#libe	3.0	Undirected
71	#sabe	#capi	3.0	Undirected
23	#gala	#libe	3.0	Undirected
7	#caba	#capi	3.0	Undirected
141	#capi	#ladr	2.0	Undirected
182	#viso	#gazu	2.0	Undirected
46	#dona	#cape	2.0	Undirected
76	#sabe	#ladr	2.0	Undirected
81	#sabe	#enma	2.0	Undirected
165	#rosa	#manc	2.0	Undirected
93	#libe	#pedr	2.0	Undirected
96	#libe	#manc	2.0	Undirected
143	#capi	#enma	2.0	Undirected
103	#cara	#pich	2.0	Undirected
205	#vie1	#moza	2.0	Undirected
41	#dona	#sabe	2.0	Undirected
197	#ladr	#enma	2.0	Undirected
124	#roja	#capi	2.0	Undirected
191	#gazu	#pere	2.0	Undirected
183	#viso	#pere	2.0	Undirected
113	#farr	#pich	2.0	Undirected
161	#pren	#sueg	2.0	Undirected
6	#caba	#pedr	2.0	Undirected
30	#gala	#manc	2.0	Undirected
26	#gala	#pedr	2.0	Undirected
15	#caba	#enma	2.0	Undirected
12	#caba	#ladr	2.0	Undirected
280	#crib	#mar2	1.0	Undirected
281	#crib	#mar1	1.0	Undirected
192	#gazu	#zaga	1.0	Undirected
284	#lana	#mar1	1.0	Undirected
193	#gazu	#espo	1.0	Undirected
194	#gazu	#cieg	1.0	Undirected
195	#gazu	#barq	1.0	Undirected
196	#ladr	#voce	1.0	Undirected
283	#lana	#mar2	1.0	Undirected
198	#ladr	#otro	1.0	Undirected
214	#mozo	#viej	1.0	Undirected
199	#ladr	#voz2	1.0	Undirected
200	#ladr	#veci	1.0	Undirected
201	#mari	#rapa	1.0	Undirected
202	#rosm	#zaga	1.0	Undirected
213	#pere	#barq	1.0	Undirected
203	#vie1	#mozo	1.0	Undirected
190	#andr	#biei	1.0	Undirected
204	#vie1	#viej	1.0	Undirected
282	#lana	#peab	1.0	Undirected
206	#vie1	#fray	1.0	Undirected
212	#pere	#cieg	1.0	Undirected
207	#vie1	#vie2	1.0	Undirected
208	#vie1	#voz_	1.0	Undirected
209	#vie1	#mona	1.0	Undirected
210	#pere	#zaga	1.0	Undirected
211	#pere	#espo	1.0	Undirected
272	#una_	#borr	1.0	Undirected
188	#abue	#mari	1.0	Undirected
189	#abue	#rapa	1.0	Undirected
175	#rose	#gine	1.0	Undirected
162	#pren	#abue	1.0	Undirected
163	#pren	#mari	1.0	Undirected
164	#pren	#rapa	1.0	Undirected
289	#vie2	#mona	1.0	Undirected
166	#rosa	#andr	1.0	Undirected
167	#rosa	#biei	1.0	Undirected
168	#sueg	#abue	1.0	Undirected
169	#sueg	#mari	1.0	Undirected
170	#sueg	#rapa	1.0	Undirected
171	#maur	#rose	1.0	Undirected
172	#maur	#gine	1.0	Undirected
173	#manc	#andr	1.0	Undirected
174	#manc	#biei	1.0	Undirected
288	#vie2	#voz_	1.0	Undirected
216	#voce	#enma	1.0	Undirected
176	#rosi	#rosm	1.0	Undirected
287	#mar2	#mar1	1.0	Undirected
177	#rosi	#zaga	1.0	Undirected
178	#cura	#vie1	1.0	Undirected
179	#cura	#mozo	1.0	Undirected
180	#cura	#viej	1.0	Undirected
181	#cura	#moza	1.0	Undirected
286	#peab	#mar1	1.0	Undirected
285	#peab	#mar2	1.0	Undirected
184	#viso	#zaga	1.0	Undirected
185	#viso	#espo	1.0	Undirected
186	#viso	#cieg	1.0	Undirected
187	#viso	#barq	1.0	Undirected
215	#mozo	#moza	1.0	Undirected
279	#crib	#peab	1.0	Undirected
271	#otra	#borr	1.0	Undirected
258	#fons	#mend	1.0	Undirected
