	Source	Target	Weight	Type
24	#caba	#much	5.0	Undirected
10	#caba	#pobr	5.0	Undirected
154	#rose	#gonz	5.0	Undirected
122	#maur	#rose	5.0	Undirected
128	#maur	#gonz	5.0	Undirected
14	#caba	#domi	4.0	Undirected
3	#caba	#cape	4.0	Undirected
230	#domi	#male	4.0	Undirected
185	#pobr	#domi	4.0	Undirected
15	#caba	#morc	4.0	Undirected
23	#caba	#male	4.0	Undirected
193	#pobr	#male	4.0	Undirected
245	#morc	#male	3.0	Undirected
160	#rose	#much	3.0	Undirected
55	#andr	#cape	3.0	Undirected
134	#maur	#much	3.0	Undirected
124	#maur	#pobr	3.0	Undirected
235	#domi	#mago	3.0	Undirected
150	#rose	#pobr	3.0	Undirected
42	#farr	#maur	3.0	Undirected
259	#gonz	#much	3.0	Undirected
30	#caba	#mago	3.0	Undirected
43	#farr	#rose	3.0	Undirected
250	#morc	#mago	3.0	Undirected
0	#caba	#farr	3.0	Undirected
187	#pobr	#gonz	3.0	Undirected
186	#pobr	#morc	3.0	Undirected
198	#pobr	#mago	3.0	Undirected
4	#caba	#roja	3.0	Undirected
194	#pobr	#much	3.0	Undirected
6	#caba	#maur	3.0	Undirected
8	#caba	#rose	3.0	Undirected
9	#caba	#gala	3.0	Undirected
12	#caba	#maru	3.0	Undirected
16	#caba	#gonz	3.0	Undirected
48	#farr	#gonz	3.0	Undirected
223	#domi	#morc	3.0	Undirected
1	#caba	#andr	3.0	Undirected
312	#male	#mago	3.0	Undirected
93	#cape	#rebo	2.0	Undirected
108	#roja	#sabe	2.0	Undirected
258	#gonz	#male	2.0	Undirected
262	#gonz	#mago	2.0	Undirected
91	#cape	#gonz	2.0	Undirected
111	#roja	#morc	2.0	Undirected
97	#cape	#much	2.0	Undirected
126	#maur	#domi	2.0	Undirected
263	#gonz	#voz_	2.0	Undirected
106	#roja	#gala	2.0	Undirected
153	#rose	#morc	2.0	Undirected
127	#maur	#morc	2.0	Undirected
133	#maur	#male	2.0	Undirected
246	#morc	#much	2.0	Undirected
137	#maur	#mago	2.0	Undirected
138	#maur	#voz_	2.0	Undirected
239	#morc	#gonz	2.0	Undirected
152	#rose	#domi	2.0	Undirected
83	#cape	#maur	2.0	Undirected
231	#domi	#much	2.0	Undirected
159	#rose	#male	2.0	Undirected
163	#rose	#mago	2.0	Undirected
164	#rose	#voz_	2.0	Undirected
224	#domi	#gonz	2.0	Undirected
173	#gala	#reco	2.0	Undirected
205	#maru	#patr	2.0	Undirected
85	#cape	#rose	2.0	Undirected
199	#pobr	#voz_	2.0	Undirected
45	#farr	#pobr	2.0	Undirected
18	#caba	#patr	2.0	Undirected
318	#much	#mago	2.0	Undirected
319	#much	#voz_	2.0	Undirected
51	#farr	#much	2.0	Undirected
53	#farr	#voz_	2.0	Undirected
31	#caba	#voz_	2.0	Undirected
308	#male	#much	2.0	Undirected
25	#caba	#unav	2.0	Undirected
40	#farr	#cape	2.0	Undirected
20	#caba	#reco	2.0	Undirected
19	#caba	#rebo	2.0	Undirected
301	#otra	#unav	2.0	Undirected
66	#andr	#rebo	2.0	Undirected
21	#caba	#otra	2.0	Undirected
39	#farr	#pedr	2.0	Undirected
5	#caba	#fuso	2.0	Undirected
203	#maru	#domi	1.0	Undirected
229	#domi	#otra	1.0	Undirected
333	#voz_	#adeg	1.0	Undirected
325	#zaga	#flor	1.0	Undirected
232	#domi	#unav	1.0	Undirected
324	#rami	#seba	1.0	Undirected
323	#unav	#tull	1.0	Undirected
322	#unav	#mago	1.0	Undirected
233	#domi	#paul	1.0	Undirected
321	#unav	#anso	1.0	Undirected
234	#domi	#anso	1.0	Undirected
320	#much	#adeg	1.0	Undirected
331	#mago	#adeg	1.0	Undirected
236	#domi	#voz_	1.0	Undirected
237	#domi	#adeg	1.0	Undirected
202	#sabe	#morc	1.0	Undirected
238	#domi	#tull	1.0	Undirected
201	#pobr	#tull	1.0	Undirected
240	#morc	#cieg	1.0	Undirected
241	#morc	#patr	1.0	Undirected
242	#morc	#rebo	1.0	Undirected
