	id	label	sex	role	nature	importance	position	pers_mes_characters	pers_mes_sps	pers_mes_rss	pers_mes_scenes	pers_number
0	#caba	EL CABALLERO, DON JUAN MANUEL DE MONTENEGRO	M	protagonist	person	primary	1	21868	193	194	13	person
1	#pedr	DON PEDRITO	M	antagonist	person	secondary	2	3221	53	34	3	person
2	#rose	DON ROSENDO	M	antagonist	person	secondary	3	816	24	5	5	person
3	#maur	DON MAURO	M	antagonist	person	primary	4	1453	29	18	5	person
4	#gonz	DON GONZALITO	M	antagonist	person	secondary	5	896	17	7	5	person
5	#farr	DON FARRUQUIÑO	M	other	person	secondary	6	3213	60	33	5	person
6	#gala	DON GALÁN	M	other	person	minor	7	1043	24	5	3	person
7	#roja	LA ROJA	F	other	person	minor	8	3357	51	19	4	person
8	#zaga	EL ZAGAL DE LAS VACAS	M	other	person	minor	9	212	6	0	1	person
9	#andr	ANDREÍÑA	F	other	person	minor	10	2777	54	25	3	person
10	#rebo	LA REBOLA	F	other	person	minor	11	467	13	6	2	person
11	#reco	LA RECOGIDA	F	other	person	minor	12	410	12	1	2	person
12	#cape	DON MANUELITO	M	other	person	minor	13	3903	53	31	5	person
13	#patr	ABELARDO	M	other	person	minor	14	667	14	17	2	person
14	#maru	Marinero	M	other	person	minor	15	1331	23	9	3	person
15	#mard	Marinero	M	other	person	minor	16	18	1	0	1	person
16	#mart	Marinero	M	other	person	minor	17	38	1	0	1	person
17	#rapa	EL RAPAZ	M	other	person	minor	18	50	1	4	1	person
18	#monc	DOÑA MONCHA	F	other	person	minor	19	1205	27	20	2	person
19	#beni	BENITA LA COSTURERA	F	other	person	minor	20	3090	23	9	2	person
20	#pobr	EL POBRE DE SAN LÁZARO,	M	other	person	minor	21	3137	24	19	5	person
21	#domi	DOMINGA DE GÓMEZ	F	other	person	minor	22	1303	21	1	4	person
22	#male	EL MANCO LEONÉS	M	other	person	minor	23	586	10	1	4	person
23	#mago	EL MANCO DE GONDAR	M	other	person	minor	24	189	4	1	3	person
24	#tull	EL TULLIDO DE CELTIGOS	M	other	person	minor	25	22	1	1	1	person
25	#paul	PAULA LA REINA	F	other	person	minor	26	201	5	4	1	person
26	#anso	ANDREÍÑA LA SORDA,	F	other	person	minor	27	441	5	3	1	person
27	#morc	EL MORCEGO	M	other	person	minor	28	851	19	5	4	person
28	#coi	coima	F	other	person	minor	29	0	0	0	0	person
29	#adeg	ADEGA la inocente	F	other	person	minor	30	127	1	0	1	person
30	#arte	ARTEMISA	F	other	person	minor	31	691	11	5	1	person
31	#flor	Floriano	M	other	person	minor	32	58	1	5	1	person
32	#cieg	EL CIEGO DE GONDAR	M	other	person	minor	33	1209	16	8	1	person
33	#fuso	FUSO NEGRO	M	other	person	minor	34	4592	37	12	2	person
34	#mato	MANUEL TOVÍO	M	other	person	minor	35	0	0	2	0	person
35	#mafo	MANUEL FONSECA	M	other	person	minor	36	0	0	2	0	person
36	#peab	PEDRO ABUÍN	M	other	person	minor	37	0	0	2	0	person
37	#seba	SEBASTIÁN DE XOGAS	M	other	person	minor	38	37	1	2	1	person
38	#rami	RAMIRO DE BEALO	M	other	person	minor	39	685	7	6	1	person
39	#oliv	Oliveros	M	other	person	minor	40	436	14	14	1	person
40	#sabe	DOÑA SABELITA	F	other	person	minor	41	546	23	15	2	person
41	#viud	Una Viuda	F	other	person	minor	42	1646	7	2	1	person
42	#unav	Una Voz	O	other	non-human	minor	43	281	7	0	2	person
43	#otra	Otra Voz	O	other	non-human	minor	44	598	12	0	2	person
44	#much	Muchas voces	O	other	non-human	minor	45	834	9	0	5	personGrp
45	#mari	Doña María	F	lover	person	primary	46	0	0	62	0	person
46	#voz_	La Voz De Todos	O	other	person	minor	47	79	2	0	2	person
