	Source	Target	Weight	Type
1318	scene_71	scene_73	7.0	Undirected
445	scene_14	scene_71	7.0	Undirected
628	scene_18	scene_71	7.0	Undirected
540	scene_16	scene_71	7.0	Undirected
449	scene_15	scene_17	6.0	Undirected
333	scene_12	scene_14	6.0	Undirected
444	scene_14	scene_70	6.0	Undirected
285	scene_11	scene_12	6.0	Undirected
447	scene_14	scene_73	6.0	Undirected
494	scene_15	scene_71	6.0	Undirected
287	scene_11	scene_14	6.0	Undirected
542	scene_17	scene_18	6.0	Undirected
1091	scene_43	scene_71	6.0	Undirected
1311	scene_69	scene_71	6.0	Undirected
541	scene_16	scene_73	6.0	Undirected
1314	scene_70	scene_71	6.0	Undirected
584	scene_17	scene_71	6.0	Undirected
496	scene_15	scene_73	6.0	Undirected
586	scene_17	scene_73	5.0	Undirected
450	scene_15	scene_18	5.0	Undirected
443	scene_14	scene_69	5.0	Undirected
377	scene_12	scene_71	5.0	Undirected
470	scene_15	scene_43	5.0	Undirected
379	scene_12	scene_73	5.0	Undirected
357	scene_12	scene_43	5.0	Undirected
448	scene_15	scene_16	5.0	Undirected
471	scene_15	scene_44	5.0	Undirected
560	scene_17	scene_43	5.0	Undirected
773	scene_26	scene_43	5.0	Undirected
403	scene_14	scene_16	5.0	Undirected
788	scene_26	scene_71	5.0	Undirected
682	scene_21	scene_50	5.0	Undirected
683	scene_21	scene_51	5.0	Undirected
1077	scene_43	scene_44	5.0	Undirected
311	scene_11	scene_43	5.0	Undirected
331	scene_11	scene_73	5.0	Undirected
928	scene_33	scene_71	5.0	Undirected
329	scene_11	scene_71	5.0	Undirected
630	scene_18	scene_73	5.0	Undirected
497	scene_16	scene_17	5.0	Undirected
1301	scene_65	scene_71	5.0	Undirected
1299	scene_65	scene_69	5.0	Undirected
1310	scene_69	scene_70	5.0	Undirected
1193	scene_50	scene_51	5.0	Undirected
1120	scene_44	scene_71	5.0	Undirected
650	scene_20	scene_50	5.0	Undirected
651	scene_20	scene_51	5.0	Undirected
631	scene_20	scene_21	5.0	Undirected
405	scene_14	scene_18	5.0	Undirected
426	scene_14	scene_43	5.0	Undirected
1288	scene_62	scene_71	5.0	Undirected
498	scene_16	scene_18	5.0	Undirected
328	scene_11	scene_70	4.0	Undirected
478	scene_15	scene_51	4.0	Undirected
518	scene_16	scene_44	4.0	Undirected
1028	scene_39	scene_71	4.0	Undirected
93	scene_4	scene_50	4.0	Undirected
1093	scene_43	scene_73	4.0	Undirected
479	scene_15	scene_52	4.0	Undirected
477	scene_15	scene_50	4.0	Undirected
375	scene_12	scene_69	4.0	Undirected
