	Source	Target	Weight	Type
1	#casa	#juan	19.0	Undirected
2	#casa	#vale	14.0	Undirected
16	#amar	#celc	14.0	Undirected
0	#casa	#amar	13.0	Undirected
28	#juan	#ever	13.0	Undirected
5	#casa	#ever	12.0	Undirected
8	#casa	#cefe	12.0	Undirected
25	#juan	#vale	11.0	Undirected
11	#casa	#todo	11.0	Undirected
64	#ever	#eulo	10.0	Undirected
34	#juan	#todo	10.0	Undirected
36	#vale	#prod	10.0	Undirected
44	#vale	#todo	9.0	Undirected
32	#juan	#eulo	9.0	Undirected
49	#prod	#puli	9.0	Undirected
14	#amar	#vale	9.0	Undirected
78	#cefe	#todo	9.0	Undirected
9	#casa	#eulo	9.0	Undirected
6	#casa	#aten	9.0	Undirected
3	#casa	#prod	9.0	Undirected
31	#juan	#cefe	9.0	Undirected
12	#casa	#flor	8.0	Undirected
41	#vale	#cefe	8.0	Undirected
43	#vale	#amil	7.0	Undirected
40	#vale	#puli	7.0	Undirected
60	#celc	#todo	7.0	Undirected
33	#juan	#amil	7.0	Undirected
35	#juan	#flor	7.0	Undirected
15	#amar	#prod	7.0	Undirected
26	#juan	#prod	7.0	Undirected
23	#amar	#todo	7.0	Undirected
4	#casa	#celc	7.0	Undirected
7	#casa	#puli	7.0	Undirected
27	#juan	#celc	6.0	Undirected
68	#aten	#cefe	6.0	Undirected
66	#ever	#flor	6.0	Undirected
37	#vale	#celc	6.0	Undirected
39	#vale	#aten	6.0	Undirected
20	#amar	#cefe	6.0	Undirected
19	#amar	#puli	6.0	Undirected
52	#prod	#todo	6.0	Undirected
81	#eulo	#flor	6.0	Undirected
59	#celc	#amil	5.0	Undirected
74	#puli	#todo	5.0	Undirected
13	#amar	#juan	5.0	Undirected
30	#juan	#puli	5.0	Undirected
18	#amar	#aten	5.0	Undirected
22	#amar	#amil	5.0	Undirected
38	#vale	#ever	4.0	Undirected
61	#ever	#aten	4.0	Undirected
72	#puli	#cefe	4.0	Undirected
29	#juan	#aten	4.0	Undirected
50	#prod	#cefe	4.0	Undirected
82	#amil	#todo	4.0	Undirected
10	#casa	#amil	4.0	Undirected
57	#celc	#cefe	4.0	Undirected
46	#prod	#celc	4.0	Undirected
67	#aten	#puli	3.0	Undirected
65	#ever	#todo	3.0	Undirected
63	#ever	#cefe	3.0	Undirected
45	#vale	#flor	3.0	Undirected
56	#celc	#puli	3.0	Undirected
77	#cefe	#amil	3.0	Undirected
17	#amar	#ever	3.0	Undirected
48	#prod	#aten	3.0	Undirected
47	#prod	#ever	3.0	Undirected
70	#aten	#todo	3.0	Undirected
71	#aten	#flor	2.0	Undirected
73	#puli	#amil	2.0	Undirected
83	#amil	#flor	2.0	Undirected
79	#cefe	#flor	2.0	Undirected
42	#vale	#eulo	2.0	Undirected
54	#celc	#ever	2.0	Undirected
51	#prod	#amil	2.0	Undirected
21	#amar	#eulo	2.0	Undirected
69	#aten	#eulo	1.0	Undirected
62	#ever	#puli	1.0	Undirected
58	#celc	#eulo	1.0	Undirected
75	#puli	#flor	1.0	Undirected
76	#cefe	#eulo	1.0	Undirected
55	#celc	#aten	1.0	Undirected
53	#prod	#flor	1.0	Undirected
80	#eulo	#todo	1.0	Undirected
24	#amar	#flor	1.0	Undirected
84	#todo	#flor	1.0	Undirected
