	id	label	sex	role	nature	importance	position	pers_mes_characters	pers_mes_sps	pers_mes_rss	pers_mes_scenes	pers_number
0	#cast	Casta	F	lover	person	primary	1	0	0	60	0	person
1	#prod	Prodosia	F	other	person	secondary	2	7470	74	39	15	person
2	#vale	Valentina	F	other	person	minor	3	5945	103	30	22	person
3	#celc	Celcina	F	other	person	minor	4	5185	64	27	16	person
4	#ever	Everilda	F	other	person	minor	5	3842	58	24	19	person
5	#eulo	Eulogia	F	other	person	minor	6	2208	39	14	14	person
6	#flor	Flora	F	other	person	minor	7	1412	18	17	12	person
7	#amar	Amaranto	M	protagonist	person	primary	8	18190	147	57	25	person
8	#caye	Mariano	M	antagonist	person	primary	9	0	0	0	0	person
9	#juan	Juan	M	other	person	secondary	10	19459	136	42	30	person
10	#aten	Ateneo	M	other	person	secondary	11	4819	53	21	11	person
11	#puli	Pulido	M	other	person	secondary	12	3333	46	38	12	person
12	#amil	Amílcar	M	other	person	minor	13	3430	39	25	12	person
13	#cefe	Ceferino	M	other	person	minor	14	2798	46	23	14	person
14	#casa	Casado	M	other	person	minor	15	15617	191	15	31	person
15	#frai	Fraile	M	other	non-human	minor	16	208	1	19	1	person
16	#todo	Todos	0	other	person	minor	17	1222	22	0	13	personGrp
