	act_1	act_2	act_3
#cara	60	109	33
#abad	34	61	47
#jero	85	35	0
#sabe	68	28	22
#caba	49	1	58
#pich	3	67	22
#sac1	16	14	55
#fuso	1	15	38
#sac2	0	0	39
#ludo	0	28	0
#viej	16	6	0
#peab	20	2	0
#seba	11	5	0
#biga	0	0	15
#maur	0	12	0
#gala	0	0	10
#viea	0	10	0
#farr	0	9	0
#rami	8	0	0
#mara	0	7	0
#diac	0	6	0
#peni	0	6	0
#past	6	0	0
#pedr	0	4	0
#coim	0	4	0
#indi	0	3	0
#mato	3	0	0
#mafo	3	0	0
#cieg	0	2	0
#pre1	0	2	0
#pre2	0	2	0
#rose	0	1	0
#pre3	0	1	0
#chal	0	1	0
#conf	0	0	1
#vozl	0	0	1
#ming	0	0	0
#gabi	0	0	0
#celo	0	0	0
#gonz	0	0	0
#mari	0	0	0
