	act_1	act_2	act_3
#caba	71	65	57
#farr	8	48	4
#andr	0	38	16
#pedr	6	47	0
#cape	8	37	8
#roja	19	0	32
#fuso	0	0	37
#maur	3	21	5
#monc	16	0	11
#gala	4	0	20
#rose	6	14	4
#pobr	5	12	7
#maru	23	0	0
#sabe	0	0	23
#beni	19	4	0
#domi	2	12	7
#morc	5	6	8
#gonz	2	13	2
#cieg	0	16	0
#oliv	0	14	0
#patr	14	0	0
#rebo	0	7	6
#otra	12	0	0
#reco	0	0	12
#arte	0	0	11
#male	1	5	4
#viud	0	0	7
#rami	0	7	0
#unav	7	0	0
#zaga	0	0	6
#paul	0	5	0
#anso	5	0	0
#mago	1	2	1
#voz_	0	0	2
#flor	0	0	1
#seba	0	1	0
#adeg	0	0	1
#tull	1	0	0
#rapa	0	0	1
#mart	1	0	0
#mard	1	0	0
#mato	0	0	0
#mafo	0	0	0
#peab	0	0	0
#coi	0	0	0
#mari	0	0	0
